2026-09-07 12:06:16,10555,7172,17,12.821,41.353,30,26,0.233,NORMAL
2026-09-07 12:06:17,10586,7197,30,17.379,31.536,31,25,0.204,NORMAL
2026-09-07 12:06:18.674729,50.0,50.0,0.0,0.0,3950.0,18.4275,34.9795,0.0,0.0,0.0,0.0,1,0.0,NORMAL
2026-09-07 12:06:18,10625,7230,21,15.13,44.556,39,33,0.056,NORMAL
2026-09-07 12:06:19,10661,7256,19,17.992,33.204,36,26,0.043,NORMAL
2026-09-07 12:06:20,10702,7290,24,12.5,30.003,41,34,0.16,NORMAL
2026-09-07 12:06:21,10739,7313,25,19.731,51.946,37,23,0.148,NORMAL
2026-09-07 12:06:22,10781,7349,23,16.769,30.627,42,36,0.176,NORMAL
2026-09-07 12:06:23.736268,50.0,50.0,0.0,0.0,3950.0,18.4275,34.9795,0.0,0.0,0.0,0.0,1,0.0,NORMAL
2026-09-07 12:06:23,10828,7381,26,21.458,47.605,47,32,0.249,NORMAL
2026-09-07 12:06:24,10871,7407,34,15.123,33.913,43,26,0.041,NORMAL
2026-09-07 12:06:25,11309,7683,102,117.526,314.009,438,276,0.957,ANOMALY
2026-09-07 12:06:26,11573,7924,164,103.507,346.392,264,241,0.949,ANOMALY
2026-09-07 12:06:27,11868,8113,238,109.93,332.261,295,189,0.902,ANOMALY
2026-09-07 12:06:28.817776,50.0,50.0,0.0,0.0,3950.0,18.4275,34.9795,0.0,0.0,0.0,0.0,1,0.0,NORMAL
2026-09-07 12:06:28,12071,8296,139,105.855,151.535,203,183,0.807,ANOMALY
2026-09-07 12:06:30,12365,8501,155,105.58,170.808,294,205,0.941,ANOMALY
2026-09-07 12:06:31,12560,8801,142,118.981,193.344,195,300,0.784,ANOMALY
2026-09-07 12:06:32,12822,8967,234,86.431,337.77,262,166,0.933,ANOMALY
2026-09-07 12:06:33,13107,9229,225,69.359,213.209,285,262,0.968,ANOMALY
2026-09-07 12:06:33.893405,50.0,50.0,0.0,0.0,3950.0,18.4275,34.9795,0.0,0.0,0.0,0.0,1,0.0,NORMAL
2026-09-07 12:06:34,13155,9270,30,21.754,26.526,48,41,0.163,NORMAL
2026-09-07 12:06:35,13202,9303,24,13.937,42.179,47,33,0.231,NORMAL
2026-09-07 12:06:36,13241,9335,31,17.991,33.029,39,32,0.178,NORMAL
2026-09-07 12:06:37,13284,9362,21,17.402,38.963,43,27,0.207,NORMAL
2026-09-07 12:06:38,13328,9387,24,17.761,33.847,44,25,0.139,NORMAL
2026-09-07 12:06:38.943181,50.0,50.0,0.0,0.0,3950.0,18.4275,34.9795,0.0,0.0,0.0,0.0,1,0.0,NORMAL
2026-09-07 12:06:39,13366,9408,28,17.226,22.46,38,21,0.152,NORMAL
2026-09-07 12:06:40,13402,9438,28,23.882,30.373,36,30,0.097,NORMAL
2026-09-07 12:06:41,13435,9460,22,18.077,25.628,33,22,0.221,NORMAL
2026-09-07 12:06:42,13468,9482,14,21.296,32.257,33,22,0.069,NORMAL
2026-09-07 12:06:43,13494,9497,17,19.788,34.178,26,15,0.047,NORMAL
2026-09-07 12:06:44,13515,9509,19,17.109,30.361,21,12,0.158,NORMAL
2026-09-07 12:06:43.989183,50.0,50.0,0.0,0.0,3950.0,18.4275,34.9795,0.0,0.0,0.0,0.0,1,0.0,NORMAL
2026-09-07 12:06:45,13548,9529,15,15.943,38.896,33,20,0.047,NORMAL
2026-09-07 12:06:46,13568,9540,12,17.969,22.024,20,11,0.151,NORMAL
2026-09-07 12:06:47,13585,9554,17,19.461,35.754,17,14,0.098,NORMAL
2026-09-07 12:06:48,13601,9564,10,15.547,21.324,16,10,0.188,NORMAL
2026-09-07 12:06:49,13619,9574,17,20.901,36.642,18,10,0.114,NORMAL
2026-09-07 12:06:49.084701,50.0,50.0,0.0,0.0,3950.0,18.4275,34.9795,0.0,0.0,0.0,0.0,1,0.0,NORMAL
2026-09-07 12:06:50,13648,9598,8,18.542,42.519,29,24,0.149,NORMAL
2026-09-07 12:06:51,13668,9613,5,16.62,36.355,20,15,0.228,NORMAL
2026-09-07 12:06:52,13696,9631,13,18.089,49.731,28,18,0.114,NORMAL
2026-09-07 12:06:53,13714,9646,16,12.957,42.17,18,15,0.148,NORMAL
2026-09-07 12:06:54,13728,9657,6,15.483,46.142,14,11,0.2,NORMAL
2026-09-07 12:06:54.158269,50.0,50.0,0.0,0.0,3950.0,18.4275,34.9795,0.0,0.0,0.0,0.0,1,0.0,NORMAL
2026-09-07 12:06:55,13749,9669,18,21.07,36.502,21,12,0.13,NORMAL
2026-09-07 12:06:56,14052,9888,193,64.56,132.229,303,219,0.813,ANOMALY
2026-09-07 12:06:57,14341,10060,276,99.478,340.812,289,172,0.906,ANOMALY
2026-09-07 12:06:58,14626,10296,194,93.883,252.194,285,236,0.854,ANOMALY
2026-09-07 12:06:59,14830,10444,213,85.488,352.125,204,148,0.898,ANOMALY
2026-09-07 12:06:59.200935,50.0,50.0,0.0,0.0,3950.0,18.4275,34.9795,0.0,0.0,0.0,0.0,1,0.0,NORMAL
2026-09-07 12:07:00,15226,10647,235,65.547,309.992,396,203,0.886,ANOMALY
2026-09-07 12:07:01,15528,10796,180,96.581,375.815,302,149,0.898,ANOMALY
2026-09-07 12:07:02,15920,11073,171,65.648,373.572,392,277,0.884,ANOMALY
2026-09-07 12:07:03,16303,11359,191,79.095,331.391,383,286,0.98,ANOMALY
2026-09-07 12:07:04,16326,11373,19,18.739,34.508,23,14,0.069,NORMAL
